,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
36,503,0,575,87.51,1,66.0,1006,73,31.44,121.5,28,300,17,17.65,7.89,13.41,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
37,0,0,1326,93.71,67,47.1,417,71,26.06,136.27,11,548,14,39.14,9.13,25.71,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,1488,91.4,18,36.2,971,71,26.24,125.78,48,345,6,57.5,8.85,39.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,5708,7,5262,86.97,2,117.0,958,116,39.92,120.65,25,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
40,0,0,860,78.61,57,46.2,904,48,23.18,120.86,35,750,26,28.85,7.33,23.65,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
41,1944,2,10,43.47,0,0.0,130,50,16.25,107.44,3,0,0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
42,6973,98,13430,91.21,323,46.0,768,114,27.43,144.36,39,390,13,30.0,7.96,22.62,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
43,10440,6,10596,78.08,7,83.1,1471,110,30.65,128.02,33,0,0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1
44,624,0,2753,72.03,0,0.0,259,34,14.39,103.6,6,0,0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
45,12379,276,11498,72.97,270,39.3,1965,89,30.7,110.95,37,1713,45,38.07,7.96,28.71,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
46,2648,0,2924,84.31,0,0.0,128,53,25.6,164.1,8,0,0,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
47,0,0,0,0.0,0,0.0,3,3,3.0,60.0,0,224,9,24.89,8.48,17.78,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
48,1000,0,1008,74.5,0,0.0,1231,69,24.14,123.84,28,0,0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
49,88,24,126,70.78,37,51.5,111,21,18.5,105.71,1,1013,21,48.24,7.02,41.33,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
50,4188,21,1324,68.74,0,0.0,241,75,24.1,129.57,8,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
51,491,0,3590,86.31,2,137.0,1639,73,28.26,119.29,49,345,4,86.25,8.84,58.5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
52,149,27,292,88.21,77,42.1,243,34,10.57,114.08,14,1919,53,36.21,7.73,28.11,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
53,2506,619,938,61.06,337,43.0,35,8,11.67,74.47,0,105,2,52.5,9.55,33.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1
54,16,16,73,58.87,100,34.8,8,8,4.0,88.89,1,187,13,14.38,7.19,12.0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
55,8781,2,2338,71.23,0,0.0,282,52,15.67,105.62,5,0,0,0.0,0.0,0.0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
56,1451,310,1100,82.45,377,29.2,103,25,11.44,121.18,6,1009,21,48.05,7.56,38.24,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
57,556,25,1042,84.44,133,33.3,177,39,17.7,143.9,9,520,27,19.26,7.43,15.56,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
58,275,101,327,73.81,185,31.1,64,17,5.82,100.0,4,1381,83,16.64,6.36,15.69,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
